"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,38555856.768583,39125768.3697836,14727328.5450995,14848023.5346239,12304016.0011594,106716564.501199,64554.377587742,14511228.6989596,2684160.51666667,10618236.1827052,2684160.51666667,2684160.51666667,30537130.1814942,6463640.34444445,51454445.2355262,2684160.51666667,23249982.3309844,70570452.84233,96382555.3878366,58636011.4557112,106780338.689111,173363942.437923,58971791.8904378,19047610.5548038
2317273.33253959,69361936.0556168,51017547.1701812,19766593.9181722,1363797.0421779,32530330.1369176,118509229.801956,1871540.02875744,11797383.5231661,2684160.51666667,11947433.5095837,2684160.51666667,23868681.8816821,23396730.1200591,27518313.4762857,62133911.1953712,2684160.51666667,32950686.3640769,84948875.6329385,48589180.244831,15589730.1871277,95886964.1260466,43296216.6187331,44529833.89167,5833152.69015272
6075935.1662365,208840349.75118,87776819.2957786,10383341.8016628,5695477.32473015,96032665.0924565,211127112.019419,12861008.5773273,17970316.0059667,68394499.8394756,15183074.0297786,2684160.51666667,2684160.51666667,24569052.0444545,56986202.593554,32577749.9635741,14130994.8392475,30298237.8258537,55287840.0485543,79848684.5764965,15585853.3664935,56258016.2360564,63710399.757297,122043788.939282,20194273.512755
49822953.5353435,115490528.690459,89666977.8531448,47744309.1521252,7589076.41948646,239925553.05127,418773958.737513,27291817.3967423,48934833.1971801,125910974.952543,8400853.59870274,15832172.7981405,2684160.51666667,24116785.9165707,58999773.9640283,49091624.1818998,20983526.8432079,35433070.779827,45266381.5888442,18439333.4957606,45066478.5685713,71473178.346931,106942047.331661,68058849.1160842,7457786.38874294
79374288.1544828,135669205.416913,47221538.4649318,53785294.8199727,1021350.64754154,121632789.858849,441736461.68457,94608017.6901792,52337560.1020023,119005875.470616,2827.7,16625112.3428028,2684160.51666667,18106285.2726555,9781715.88683882,48003210.9851856,37546277.3425961,40097993.2416353,31236605.9962083,20863164.2514975,299972116.079016,38349411.7746671,176452517.361572,16417440.762064,8595075.84544944
20220673.4339584,38904614.3847328,141527468.124174,26418993.2614297,122156.449823208,53677522.1127713,155714502.278768,96691490.2694991,24876386.8665686,83158306.9539419,24143058.4108469,2684160.51666667,2684160.51666667,16103716.6810465,6463640.34444445,51753808.5321364,2684160.51666667,46443421.0651563,24802192.6090775,18514573.1260261,56675472.0081557,14211934.2366077,97776817.8612598,17227251.789907,18143134.7366311
22730172.6592707,10202828.3712651,109511387.868282,2545929.74860334,2827.7,67095048.0712421,289490593.930726,41407781.7582762,44242973.9997781,40192717.6820655,10822756.122469,19488681.0113695,2684160.51666667,14860944.5739438,6463640.34444445,56646362.1105923,2684160.51666667,55986879.4924222,9390459.96611352,54784893.0617273,63761722.8838823,7041283.20698508,31956486.8270933,46318261.4585628,25970093.9891015
21700669.5720138,8333120.57267446,76475120.4455842,53391037.1480854,2827.7,71477387.8785275,76423915.6284508,28458951.9566938,44245179.3390013,18588661.9516616,21904258.6014226,44000472.0505448,2684160.51666667,18495764.2074785,6463640.34444445,104562064.94142,2684160.51666667,42817249.9167103,21337897.972637,54819995.2131638,18181235.6725967,6300311.92757815,40653738.8132994,103763279.766837,34043098.1352425
13753068.9086969,13813129.5313059,73541248.1374252,110411717.229407,559365.003056337,10705178.285405,95698552.5591823,21424578.9948462,46707440.5817272,2684160.51666667,7638697.83030664,28909685.0371049,2684160.51666667,15224412.9476624,44956898.9099796,115096381.703561,2684160.51666667,14205361.2801229,34169821.0868346,115648283.138811,30041639.0336576,3452801.26360732,24968629.6067844,147699661.07232,113129348.185039
48539071.048032,29100332.4148051,56878074.8964115,144041163.221636,4374294.11460884,1965620.2741842,100231313.870779,18238120.3064888,59175282.939332,2684160.51666667,6843840.74533868,18497378.9341242,2684160.51666667,26104555.1780282,56959090.4667265,95239359.7856675,2684160.51666667,2684160.51666667,42974424.0669693,215628237.776109,27873307.1583714,9629196.44014978,52399446.6547057,108898051.640429,96398378.7236314
53692119.4285625,17215766.8063549,62244911.5784536,516979845.227001,2794800.98111829,15618755.9339187,95137288.2735573,59038994.5305378,67357843.5357333,2684160.51666667,29112918.7011389,26577065.0626605,2684160.51666667,4736353.84291378,30543124.3357682,73047518.0400865,16116129.2406051,2684160.51666667,27933684.9852349,33898603.597615,7045025.14939002,10418184.0839481,82617561.1892646,102374772.534996,238704792.786087
284332367.440566,16345499.3989148,2827.7,347746700.374009,540791.471383117,56144889.9034278,410200296.922866,128439719.491003,2827.7,5030504.89404156,49480339.9116169,39014540.9192431,2684160.51666667,17053632.1571151,6463640.34444445,32291443.1766741,2684160.51666667,23557322.0511033,35788794.724956,2827.7,29635278.0555448,2051631.5005564,88675249.2764885,125889232.669022,430220933.476545
