"V1","V2","V3","V4","V5","V6"
57662667.9305823,75248177.4637319,99590639.6903876,453440.727588587,44814712.6945402,7878376.38728436
125402421.304896,78355863.7886611,127396213.775379,12263954.9143204,23706991.8548066,82296528.8732413
92047572.4853453,27761557.4498921,144958030.29259,19275740.156238,22988579.5114467,4189512.23953029
107918013.467628,8590385.70753469,100400914.202952,9244504.49073617,2681174.83491303,5038408.35397564
204891102.188797,500080.222336017,43164155.1799425,12636828.8689343,5695069.22891598,1285655.14518576
184786032.785384,1181383.65154718,49118054.5681652,20227937.0366601,26649016.7092386,15002357.6304524
119986970.285322,5740393.44313755,135962962.254366,95133970.1510794,78657658.0111339,44476894.6041962
74193038.7742959,1178839.50563704,86942708.3449354,120791780.983523,57047178.4715344,188240054.306206
37430373.1616916,4677793.95309476,66490950.7064221,74501274.5118654,54146024.947964,233520819.432317
37776788.0440444,4795672.71359807,28142036.0726988,48938152.2613416,44194403.2691275,123944585.01024
62529766.3760297,21178774.2377824,11718621.2464234,27956122.9306755,18390825.3825014,99441915.6327468
60607403.5070032,3497592.93366708,0,11591492.8490119,40577683.9073996,88769690.8307717
2681174.85367057,52099.4722678463,0,0,2805216.77966389,0
17438008.8105672,0,0,0,2681174.83491303,0
33938029.8673068,0,1412704.09287113,26994.0088786376,2681174.83491303,0
70826597.8940658,0,23123799.5402614,759563.995256746,2681174.83491303,0
11523704.3424902,7564.29233841073,49952126.5502975,4784624.84830944,3150672.37319069,518146.431724486
27228829.9937587,128022.439884106,52091958.6629312,13735011.7160045,14860590.4101954,48540346.7643205
75797037.2296968,243884.729184567,12900955.2202248,29801219.9740061,33384639.8530154,67006.4263567753
47912689.5503245,775460.460202474,38201299.6117917,25091431.6490196,33430643.3107119,322405.478660881
44252172.9763433,213119.409197091,56141173.5380378,27198183.599294,50278842.6936956,0
52860034.3652071,279427.389825534,72763390.9674685,111511142.025393,47596342.3697562,865815.259621594
43297255.6092178,286626.380474978,58179024.1956979,73511763.4921881,50037027.1549755,4165904.22164902
33982300.5358339,776572.346192833,41999169.5935053,29460945.7523,56234676.5854369,0
47081293.8326779,2664.17308784806,62162424.2799702,64184702.2649778,51058359.865098,0
34265672.6978929,0,83306670.968404,81643769.0474741,81484797.345428,0
37856206.1302157,1019689.04481362,33661156.6679255,127320154.532954,40062511.6727348,2906809.93464808
93879529.3775603,33251389.3042458,37391834.0258769,90162571.4136648,31879072.1465831,0
364904630.168737,80340952.7588901,54993427.7954407,159247674.067355,70463149.9816114,1154712.17513561
167197351.006912,72624708.8725602,89052469.8970276,267692940.147778,127724839.138966,24674440.4741666
415840955.192285,56119576.278603,173281087.127321,175393626.384702,208479390.268419,16072166.3325725
749299015.297851,99976025.7432882,157202791.328624,74293304.9936735,54515750.5768671,124908406.525258
421500151.141272,94121803.0441749,176603483.921628,211030266.904346,34489917.7327375,144044476.153116
256133388.20648,118329780.355252,279777378.779609,162835663.47121,39183865.1500559,78613617.1432796
64235063.9066883,164471636.178225,266866719.04772,128000881.510705,118702803.060747,209351592.852538
67969494.263993,114315641.732887,253274467.947152,221672608.356458,223080468.050107,241914099.603199
47589632.9286104,123091105.176632,179339575.399293,101619500.146533,145256723.473708,254922427.113677
97315611.4714989,99618330.2224833,132126277.81026,111278116.887457,71053518.3245374,66663810.3009688
63851296.4175088,111064586.888238,72107681.2705441,72289114.6686779,29543649.8591054,6553982.85384846
84672771.6628387,96458000.8059224,29458469.0697669,54888209.6479731,30869186.7181019,1094309.67893489
53434678.3352253,60745743.8707804,60881443.7169038,48172976.3351748,38392782.8876713,2501787.09333972
80133773.7942993,44189454.8996708,52199509.6625872,58253268.0225039,9085700.4221693,789815.874730546
103277385.321203,29656669.4124992,77841559.3845566,39369577.474066,2681174.83491303,5285831.7245631
140486040.988135,20315904.7015016,87897782.3517777,41699432.971396,74653954.7023882,18123434.8578969
