"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
41310776.1932116,78956719.1679542,110298554.371053,49682480.5869438,5613323.19742225,1944674.51088639,18842404.3628235,37696403.503863,161079748.442421,20051681.6263059,24386549.4883234,28201303.1564357,53425122.9827072,49790730.2335735,36504160.6719745,23913234.0250762,21803204.7013976,41479424.4995286,36522547.9020716,91961039.4085472,42357182.5033884,66090922.4979602,23056199.2584986,59453846.0772814,143186582.414931
41224838.2336816,277828595.550879,72462623.3004125,39696794.8135368,1433213.68955473,0,118491925.674532,52205124.3857418,71516298.3588434,16035811.3276345,24386549.4883234,27936678.8725916,87533065.4129521,43339070.8807735,36747784.3845816,23913234.0250762,22058997.2152407,83041243.5646291,50310471.3226607,112661979.356873,43481582.769826,54208848.8424604,22414236.4079297,97764932.2233323,62737673.7421705
34210087.9622265,268227949.403141,74311339.6380436,40892297.3539352,5198871.26228426,1845906.03275737,288448436.582649,51141668.6204831,30874415.7776269,16021083.2219965,24386549.4883234,30831707.3562435,20592779.7629487,40471369.6061752,49274198.7105003,23913234.0250762,23134738.4137013,119111444.957876,48753237.8930997,126894531.328441,43352172.0304333,87653334.8338255,29944183.1447659,34018109.1889232,97065704.4958312
43369427.7327309,127872798.228887,71894408.368436,45440745.6118761,9400772.89673954,0,218788080.472158,44542527.5665841,0,16021083.2219965,24386549.4883234,41144217.5043882,23837579.9174569,36892205.2700118,36958418.2439917,23913234.0250762,22609140.6958143,58935464.2011185,46164968.3649142,57604613.7315109,43416389.0577169,130573488.329773,25141118.5904075,26338686.5932217,114043550.09748
41382305.3930599,146844304.567383,50404261.3615681,60999782.717084,14885672.2955272,0,203227450.841084,112711879.183369,0,16021083.2219965,44414486.7945896,46251034.0532476,20320830.60329,37472508.9405692,36849295.2452748,23913234.0250762,21943367.3417769,42872198.6575177,61331489.9588054,29098065.9400239,44046025.2086236,306869336.005111,23465070.8801288,69188040.7203514,30165032.8236958
39260100.9313734,224738596.230307,47862387.3768042,128079336.207069,96572929.520225,0,218710406.780156,121144001.575469,0,16021083.2219965,33958064.573075,33015883.0895912,24304754.4158852,36763491.6657583,36884826.399574,23913234.0250762,22125568.0527589,36247343.4795339,116019120.312402,114277764.836874,82679851.5606584,61558773.145095,38998933.1180247,63011032.0947687,24593712.4658222
33173943.7615461,100499939.572911,48681980.9175366,151098507.718107,49969170.9655848,0,85156966.1903264,47834953.9569148,5997088.88824744,16021083.2219965,24386549.4883234,33363417.6112741,19598358.9046168,36763491.6657583,38536966.2480722,23913234.0250762,27618035.7764286,36441120.7536889,163956473.835739,47999083.8163095,150379574.151493,65871052.9675395,56235642.4461821,21067075.1223477,24876344.8924481
32286003.946163,151515569.775004,64648053.738769,106823635.445089,123869666.978054,0,188391775.668696,0,70312506.4904373,16021083.2219965,24386549.4883234,28106518.5172633,19039976.3365783,36763491.6657583,36504160.6719745,58922212.778305,24832067.3444206,40625120.2962349,231944664.030349,100438667.1218,123716078.412475,145432413.046913,65583736.9841181,56546327.1770356,27053300.6039241
0,105901483.438326,51022881.1550531,227593949.988359,51762184.7980648,0,185757342.948294,0,50019379.2448476,16021083.2219965,24386549.4883234,27636513.7822888,19244444.0054841,37142627.7452545,39440304.6676392,36991776.5782289,22187281.7208242,36064447.2534882,169965996.858795,97873345.3694603,145357786.33984,80676276.8316278,163193235.495971,79896736.0392838,24942172.0112675
0,72305517.4269149,60189907.1808535,63664321.7051793,47783387.8163807,0,168196615.748167,0,56280877.0594408,16021083.2219965,24386549.4883234,27636513.7822888,21683926.4999274,38564242.9266844,36882285.0984718,35175865.9400611,23036620.3418102,36852235.1366008,97442024.5052644,64010049.0272295,70335369.2690321,149465043.14403,94003755.1483612,28756839.7416233,37022678.9727886
0,44864982.0849794,51898731.2025451,37897061.8807796,10018398.9970156,7359751.4294777,125851507.991725,0,0,16021083.2219965,25418434.169833,27636513.7822888,19039976.3365783,41799920.9710815,36504160.6719745,48433010.0882721,21789188.762254,33827587.6156472,66340073.0405417,98466149.7825776,62577236.1376428,89375815.0260613,169702949.755318,51899938.0404101,31705712.0883488
27972973.3048058,55924296.8966061,54585241.7154484,38866552.7848802,1293196.53852405,27734800.8192597,141858761.351811,0,0,16021083.2219965,25670494.4370703,27636513.7822888,22879780.2321949,39323871.6820631,37118296.6730552,58310521.4784916,21789188.762254,38333950.0356571,80673610.6677475,46532810.9537761,44461848.7731249,82023864.2761418,38647643.9479793,40012722.1260183,25140595.999499
29441997.8142085,168963563.741204,66074240.9330909,37335755.6727275,2729461.9429179,98246476.8244901,239662885.197705,0,0,55514529.2164489,26626332.4115143,27636513.7822888,19039976.3365783,39678412.9299586,47400577.4117761,32619486.8863297,21882043.546845,37060394.317822,53319116.2093249,78567856.5174991,44460790.6978972,57390371.0798843,53605500.5931357,114904485.837392,32350367.4842658
47091519.1176434,86426336.6461777,66832129.8835539,46405560.0528052,4201835.84248865,253620141.955408,421988931.557145,8282972.45323344,45497928.0866198,132234508.330154,24997944.2731195,28047274.6845497,19039976.3365783,39517643.2139795,48475336.0029124,46329650.531019,23303277.3203024,39525850.5837677,44976655.5732792,17280273.8919769,55606148.1948869,65314793.1878116,98059877.5241436,59160978.7733439,25882551.9417697
64604080.0143183,101482038.457532,53727673.0148446,48581813.5846058,1192244.60336308,127729078.890819,441925179.171,143780708.747674,52046466.8458051,123691858.070865,24386549.4883234,28189456.2209495,19039976.3365783,38054345.3041592,36514599.3015574,45360756.0410891,30404572.7734227,42264752.3195904,34016800.0955274,19561783.9739655,276982344.670545,48650303.9397511,172749568.459449,20823097.3843966,26401942.0487319
34454264.9789749,44974209.1083651,95818759.087446,40249348.981575,927165.467571409,50268385.2802778,185582577.141289,147281335.690896,3409937.67679492,75815841.675446,30983670.4596308,27636513.7822888,19039976.3365783,37573797.122685,36504160.6719745,48708961.0505939,21789188.762254,46303040.4352815,29363448.7543624,17351095.6581458,61517533.1018614,41905375.4740483,87208844.7844668,21300710.8367248,31197214.6152087
35398810.6359647,39003960.7381914,76882431.4928893,36683394.2853912,891987.791871877,64385514.6185614,309743973.80654,40180521.8653214,36030027.1622795,29080109.7684563,25457217.9904364,28702921.0816992,19039976.3365783,37275574.1911173,36504160.6719745,53234556.8326718,21789188.762254,52593232.4205474,23149592.2400843,52720010.2885595,65347765.4262758,41109974.6502195,31543092.0991479,41531119.2234789,35633344.4761454
35011317.9202396,38787898.9835748,61542646.1382295,48427934.4333176,891987.791871877,68996354.0576086,83499927.4276163,10789543.8154939,36034477.4094824,17859042.7706779,29883136.341652,38821522.3476195,19039976.3365783,38147806.9686615,36504160.6719745,104245625.278763,21789188.762254,43995312.0580157,27322540.9516049,52753585.0517803,45169131.3676672,41029919.8502262,36781646.5782276,95842256.0225231,40314034.9137622
32030505.7610933,39421163.8989852,60366263.6618718,82229096.7315594,1056052.93787075,6007144.59632711,110841067.012332,0,41003178.4116098,16021083.2219965,24853414.0496729,31370861.9395391,19039976.3365783,37362794.2078227,41830892.4961338,114195190.531366,21789188.762254,31483052.910429,36138093.7636014,119681203.292722,49054790.5559347,40859100.4763386,27883980.8085844,141760840.691238,102187337.129518
