"V1","V2","V3","V4","V5","V6"
66082160.9116879,42100148.8242238,189315119.127645,706251.361467835,45380740.7659777,70235544.4927017
65322718.6332582,76441885.1672404,53865518.2107616,0,86276292.2174518,71620398.8321493
67474315.7069498,80030378.0400549,35834726.6848067,0,82783452.2994135,70788220.1388531
64741959.2603263,104232515.270087,30702464.2251678,0,77098064.8260127,73240485.425909
64841167.5695681,79586205.4877937,22914264.3013995,0,43691195.5531591,69973530.6317929
65558829.2321144,123377581.208464,39864973.7003434,51292099.0214151,27166733.741932,69986253.985668
76054322.6215315,110306969.937376,35233566.5608699,16918621.9388841,28517743.7681921,70640036.8394579
71961628.7561236,164661049.850458,34562861.7729848,52753116.1878454,27733185.3426226,70205681.291702
71139895.5779257,218628892.761573,68394334.6877094,40029646.0473952,30496358.7919747,70467939.6899887
233716390.175462,130531743.858522,170130153.659626,88290273.121823,52801590.6784875,70277878.0413716
74436741.961768,83145730.5854608,108362455.497171,210960098.050245,58710302.8433912,70628222.8258756
69538342.0196941,75835317.5118796,102865752.250496,212949477.20805,68309090.2847165,71466054.4611546
76560470.6046172,82911354.9501766,44221545.6774831,141111498.437582,66413961.1269163,70353811.6609289
66192753.4198528,70126910.1850907,93677832.2250315,71667192.008602,47384401.5495551,70121988.1094604
87329471.1631316,46476916.305597,109084650.084325,54475105.6739016,81822321.2672912,70545196.5637555
232163248.377528,151730888.398266,138152982.21729,74734686.3228935,147947301.418644,69998660.8171361
248752124.602273,194050174.454624,231931286.756672,173521265.770797,143731265.186533,71227868.7034469
74809055.38567,190240473.117047,155753131.785719,253785227.877383,522402281.816161,75406282.0556613
97175949.5544332,160473889.624595,110508978.29788,285636685.575988,848111952.21321,81588525.7223867
346660641.417448,88168567.2337594,51242213.2427924,247710134.535271,535718277.440352,92398983.3122156
227938922.990947,179934967.65549,119817264.08787,210660621.617888,126794070.125355,74090967.3714307
75798770.212226,123017678.547541,68316765.6394595,121063690.408615,39957290.1970967,83003878.4248545
186318027.363323,283876611.752842,97188500.3570321,141678364.541688,148949131.810432,83017640.2686332
78905604.5675976,224044988.902783,37585379.8599644,70298156.889253,56980058.2709061,72550487.7509138
65159198.1368728,126818601.771437,20997974.4602806,464531.098207768,36752476.5166977,78378205.1498334
66048454.4301157,68889196.1560621,26802613.4545341,0,76619064.6699387,70281244.4000806
65706983.5383712,142926440.37617,31065567.6148205,0,111968023.900208,71923794.5573005
65023017.3422071,170551164.130444,32165576.9628473,0,323528513.312859,77810582.0241316
67011567.5726858,217382400.618863,23871305.8691174,0,356609787.708381,80237006.8029846
64865246.7750311,356778845.873989,31781743.9137486,25372413.8008645,136551480.712047,77965773.2778203
65338194.9752873,123096681.57067,21716892.4238451,24349915.6961006,328934223.135219,70845882.2642857
72119696.7334311,171981996.660456,55501823.9096198,731920.769955631,468293004.926324,73911322.3799507
64561624.0763201,118417946.978669,37792007.7557335,0,83785282.6912022,71943484.5799377
65294244.3669627,171701097.022662,73212977.4608896,41486384.9790775,53097965.502725,75097805.0343456
75753057.1734925,89081491.056589,40884739.2053531,16554971.985307,77406962.5301476,75106591.4422966
76765903.8991667,86114488.632393,45112921.0336654,54128568.6593164,113682614.872821,85488420.5285882
69636101.8314435,190100023.29815,156602379.124318,65299039.586255,115332504.299298,78981079.7676759
64582532.0085659,155637148.986335,54498775.8719053,24469706.2690437,119246947.840547,72930632.2202154
64822898.8768598,45274314.7312927,35548523.6447122,28865592.4725785,305892124.124079,71381048.6107372
66275257.1933743,290784987.219831,74165873.0967183,92472247.5879596,136478430.579313,107524308.228341
67746060.445638,163677901.11818,47577744.4116756,81432262.8208339,91012027.9653029,118786789.456131
64801793.772712,155918048.624128,33267592.4069496,89714925.2928956,72289278.945427,122517307.723518
64564893.9354883,158068686.475987,41815567.7843521,41999773.1488334,40747275.2039551,70644737.0384099
64849473.0228706,46692857.9021509,89304542.7805965,84600295.6517026,47709996.4268864,69966049.4817941
65350421.8362497,101353293.982701,49190645.6563205,84670886.525044,27985312.6578894,70699922.0319624
64594722.5194012,31396117.0015475,33389295.5688589,84615269.4733204,39010769.1915213,78048556.0611659
64674392.0845212,82929788.9889068,40968326.5418293,167394833.61171,61609349.5396297,70978991.0517265
64621706.430482,83716307.9747292,95416448.8237365,116293458.664633,168505695.916807,71132065.09868
65393491.2293697,98526741.3774023,173694317.686972,175645409.323162,215967410.727796,70321471.328049
64983649.052946,127555963.320645,463929610.893105,173407892.549976,230013907.679334,71872028.8526254
65268468.822231,92978973.5309766,37048414.8104412,126597587.055109,362725127.391591,75291741.1712881
91139625.4035961,36463722.0296195,35958435.9427915,104235254.027491,138732548.960837,69984898.9733574
137625379.719573,36305715.9833606,87953771.4231411,32245397.9234715,29454872.6138444,69974351.0494028
67218983.6014454,15654325.7373147,26408081.2263664,12281015.4720892,46019407.640743,70969357.7610814
100048711.121109,66361099.4159188,30007017.5856858,2026086.78121528,28349311.0335726,71188700.3788461
64668278.6540399,113747990.500349,82156822.4638434,38273430.6833552,109775476.344845,71302288.5201885
64561715.2931089,53349301.5064936,87338568.6266762,9021000.5941393,115153009.687436,85863166.1207151
64568620.9250438,48563473.9275833,68584245.1161834,21434298.715362,33683327.36852,89612739.2487188
65431769.0148153,148746329.746708,77927303.2381475,208029507.247889,140099630.016299,78636080.9301783
65497750.0032523,19701913.9556483,26579268.0914697,88294551.356571,54143625.9741544,104797345.953429
